한국어 단어,English Word,汉语单词,汉语拼音,Image
콧노래,humming,哼歌，哼唱,hēnggē，hēngchàng,
복수,revenge,复仇,fùchóu,
머릿속,in one's head,脑里，心里,nǎolǐ，xīnlǐ,
물음,question,提问，问题,tíwèn，wèntí,
어휴,argh; augh; phew; pew,啊呀,aya,
으악,eek; yikes,哇,wa,
존경,admiration,尊敬,zūnjìng,
존중,respect,尊重,zūnzhòng,
자녀,child,子女,zǐnǚ,
본인,person concerned; person in question,本人，自己，当事人,běnrén，zìjǐ，dāngshìrén,
남,male; man,男,nán,
성명,full name,姓名,xìngmíng,
연령,age,年龄,niánlíng,
신분,status; rank; position,身份,shēnfèn,
별명,nickname,别名，外号，绰号,biémíng，wàihào，chuòhào,
시집가다,get married,结婚，嫁人,jiéhūn，jiàrén,
사망,death; passing away; being killed,死亡,sǐwáng,
성별,sex; gender,性别,xìngbié,
숨지다,die,咽气，断气,yànqì，duànqì,
가정주부,housewife,家庭主妇,jiātíngzhǔfù,
탄생,birth,诞生,dànshēng,
년대,nyeondae,年代,niándài,
년도,nyeondo,年度,niándù,
띠,tti,属相,shǔxiāng,
본인,I; me,本人,běnrén,
생년월일,date of birth; birth date,出生日期,chūshēngrìqī,
간,liver,肝，肝脏,gān，gānzàng,
배꼽,navel; belly button,肚脐，肚脐眼,dùqí，dùqíyǎn,
숨,breath,呼吸,hūxī,
가렵다,itchy,痒，发痒,yǎng，fāyǎng,
뼈,bone,骨，骨头,gǔ，gútou,
어지럽다,dizzy; giddy,晕，晕眩,yūn，yūnxuàn,
긁다,scratch,挠，搔,náo，sāo,
침,saliva,唾液，口涎，口沫,tuòyè，kǒuxián，kǒumò,
감다,wind; coil; twine,缠，绕，卷,chán，rào，juǎn,
손발,hands and feet,手脚,shǒujiǎo,
굽히다,bend,弯，弯曲,wān，wānqū,
해롭다,harmful; bad,有害,yǒuhài,
발목,ankle,脚脖子，脚踝,jiǎobózi，jiǎohuái,
지치다,be tired; be exhausted,疲惫，疲乏，疲劳,píbèi，pífá，píláo,
감각,sense; sensation; feeling,感觉,gǎnjué,
붓다,swell; be swollen,肿,zhǒng,
대변,feces; excrements; stools,大便,dàbiàn,
심장,heart,心脏,xīnzàng,
의식 (머릿속에서),consciousness,意识,yìshí,
간지럽다,feel ticklish,痒，瘙痒,yǎng，sàoyǎng,
발등,the top of the foot,脚背,jiǎobèi,
뺨,cheek,脸颊，腮,liǎnjiá，sāi,
갈증,thirst,干渴，口渴,gānkě，kǒukě,
목구멍,throat,喉咙口，嗓子眼,hóulóngkǒu，sǎngziyǎn,
소화,digestion,消化,xiāohuà,
몸살,body aching all over,浑身难受，过劳而病,húnshēnnánshòu，guòláo'érbìng,
눈뜨다,wake,醒，睁开眼睛,xǐng，zhēngkāiyǎnjīng,
시력,sight; vision,视力,shìlì,
굶다,skip a meal; starve,饿，饿肚子,è，èdǔzi,
젖,milk; breast milk,乳，奶,rǔ，nǎi,
부러지다,break; be broken; fracture,折，折断,zhé，zhéduàn,
골다,snore,打鼾，打呼噜,dǎhān，dǎhūlū,
눈썹,eyebrow; eyelashes,眉毛,méimáo,
안색,complexion,脸色，神色,liǎnsè，shénsè,
기지개,stretching,懒腰,lǎnyāo,
목마르다,thirsty,口渴,kǒukě,
질병,illness,疾病,jíbìng,
뇌,brain,脑,nǎo,
호흡,breathing; breath,呼吸,hūxī,
근육,muscle,肌肉,jīròu,
상태,condition; state,状态,zhuàngtài,
눈동자,pupil,眼珠，瞳孔，眸子,yǎnzhū，tóngkǒng，móuzi,
뱃속,mind; stomach; inside of stomach,肚子里，内心，心眼,dǔzilǐ，nèixīn，xīnyǎn,
피로,tiredness; exhaustion; fatigue ,疲劳，疲倦，疲乏，劳累,píláo，píjuàn，pífá，láolèi,
종아리,calf,小腿肚,xiǎotuǐdù,
