한국어 단어,English Word,汉语单词,汉语拼音,Image
미련,lingering attachment,留恋，迷恋，眷恋,liúliàn，míliàn，juànliàn,
호기심,curiosity; inquisitiveness,好奇心,hàoqíxīn,
애,anxiety; worry,费心，担心，操心,fèixīn，dānxīn，cāoxīn,
공감,sympathy,共鸣，同感，认同,gòngmíng，tónggǎn，rèntóng,
진정하다,true; sincere,真正,zhēnzhèng,
안타까워하다,feel sorry,惋惜，可惜,wǎnxī，kěxī,
웃기다,make someone laugh,逗笑，可笑,dòuxiào，kěxiào,
표정,facial expression,表情，脸色,biǎoqíng，liǎnsè,
충격,impact,冲击,chōngjī,
다행,being fortunate,万幸，幸事，走运,wànxìng，xìngshì，zǒuyùn,
부담,burden; obligation,承担，负责,chéngdān，fùzé,
실감,lifelike feeling; actual feeling,真切感受，真实感,zhēnqiègǎnshòu，zhēnshígǎn,
아쉬움,frustration; regret,遗憾,yíhàn,
괴로워하다,be tormented; be distressed,难受，难过,nánshòu，nánguò,
의욕,volition; zeal; enthusiasm,意欲,yìyù,
분노,rage; fury,愤怒,fènnù,
신기하다,amazing; marvelous; mysterious,新奇,xīnqí,
두려워하다,fear; dread; be afraid; be terrified,怕，害怕,pà，hàipà,
진심,truth; sincerity,真心,zhēnxīn,
당연히,naturally; fairly,当然,dāngrán,
질투,jealousy,吃醋，妒忌,chīcù，dùjì,
만족스럽다,satisfied,感到满意的，感觉满足的,gǎndàomǎnyìde，gǎnjuémǎnzúde,
귀중하다,valuable,贵重，宝贵,guìzhòng，bǎoguì,
싫증,dislike; disgust; boredom,厌烦，厌倦,yànfán，yànjuàn,
심정,feeling; thought,心情,xīnqíng,
어려움,difficulties; trouble; hardship,困难,kùnnán,
쓸쓸하다,lonesome; solitary; cheerless,孤寂，落寞,gūjì，luòmò,
절망,despair,绝望,juéwàng,
찡그리다,frown; scowl,皱眉，蹙眉,zhòuméi，cùméi,
만족,satisfaction,满足,mǎnzú,
고통,pain,痛苦,tòngkǔ,
고통스럽다,painful; hurtful,痛苦，难受,tòngkǔ，nánshòu,
실망,disappointment,失望,shīwàng,
부러워하다,envy; covet; feel jealous,羡慕,xiànmù,
머뭇거리다,jib at; hold back; waver,犹犹豫豫，吞吞吐吐,yóuyóuyùyù，tūntūntǔtǔ,
미움,hate; hatred,讨厌，憎恶，嫌恶,tǎoyàn，zēngwù，xiánwù,
어려워하다,be uncomfortable with,畏惧，惧怕,wèijù，jùpà,
외로움,loneliness,孤单，孤独,gūdān，gūdú,
욕망,desire; craving,欲望，欲念，欲求,yùwàng，yùniàn，yùqiú,
고독,loneliness; solitude,孤独，孤单,gūdú，gūdān,
귀하다,noble,尊贵，高贵,zūnguì，gāoguì,
믿음,belief; conviction,信任，信念,xìnrèn，xìnniàn,
심리,mentality,心理,xīnlǐ,
당황,embarrassment; being panic; being flustered,惊慌，慌张,jīnghuāng，huāngzhāng,
웃음소리,sound of laughter,笑声,xiàoshēng,
고마워하다,appreciate; thank,感谢，感激,gǎnxiè，gǎnjī,
우울,depression; melancholy,忧郁，抑郁,yōuyù，yìyù,
울음소리,crying sound; weeping sound,哭声，叫声，啼声,kūshēng，jiàoshēng，tíshēng,
후회스럽다,regretful; remorseful; repentant,让人后悔，悔恨,ràngrénhòuhuǐ，huǐhèn,
그리움,yearning; attachment; longing,思念，想念,sīniàn，xiǎngniàn,
아이,goodness; oh gosh,唉,āi,
즐거움,joy; pleasure,乐趣,lèqù,
선호,preference,偏爱，喜好,piān'ài，xǐhào,
곤란,trouble; difficulty,困难，窘迫,kùnnán，jiǒngpò,
다행히,luckily; with luck,幸运，万幸，走运,xìngyùn，wànxìng，zǒuyùn,
괴로움,suffering,痛苦，煎熬，伤痛,tòngkǔ，jiān'áo，shāngtòng,
아하,aha,哈，啊哈,hā，ahā,
두려움,fear,恐惧，畏惧,kǒngjù，wèijù,
앗,eek; yikes; oops,唷,yō,
충격적,being shocking,震惊的,zhènjīngde,
창피,embarrassment; shame,丢脸，丢人，难为情，寒碜,diūliǎn，diūrén，nánwéiqíng，hánchěn,
흥분,excitement; thrill; rage,兴奋,xīngfèn,
불쾌,being unpleasant; displeasure; discomfort,不愉快，不快,bùyúkuài，bùkuài,
자극,stimulus; stimulation; impulse,刺激,cìjī,
하하,ha-ha ,哈哈,hāhā,
다행스럽다,lucky,所幸，幸运,suǒxìng，xìngyùn,
심리적,psychological,心理的，心理上的,xīnlǐde，xīnlǐshàngde,
공포,fear,恐怖,kǒngbù,
다짐,promise; assurance; pledge,保证,bǎozhèng,
초조,fret; anxiety; nervousness,焦躁，焦虑,jiāozào，jiāolǜ,
빨개지다,turn red; blush; redden,发红，变红,fāhóng，biànhóng,
심리적,mental,心理的，心理上的,xīnlǐde，xīnlǐshàngde,
