한국어 단어,English Word,汉语单词,汉语拼音,Image
줄무늬,stripe,条纹,tiáowén,
노랑,yellow,黄,huáng,
지퍼,zipper,拉链，拉锁,lāliàn，lāsuǒ,
부츠,boot,靴子,xuēzi,
스타킹,stockings; pantyhose,长筒袜，长丝袜,zhǎngtǒngwà，zhǎngsīwà,
핸드백,handbag; purse,手提包，手包,shǒutíbāo，shǒubāo,
리본,ribbon,缎带，飘带,duàndài，piāodài,
손가방,handbag; purse,手提包,shǒutíbāo,
파랑,blue,蓝,lán,
조끼,vest,坎肩,kǎnjiān,
드라이클리닝,dry-cleaning,干洗,gānxǐ,
하양,white ,白色，白,báisè，bái,
체크무늬,checked pattern,格纹，格子纹,géwén，géziwén,
팬티,panties; briefs,内裤,nèikù,
밤색,chestnut; nutbrown color; maroon,栗色,lìsè,
외출복,clothes for going out; outing wear,外出服,wàichūfú,
최고급,the highest grade; top-level,最高级,zuìgāojí,
스커트,skirt,半身裙,bànshēnqún,
백,bag,袋，皮包，手提包,dài，píbāo，shǒutíbāo,
겉모습,appearance; look,外表，外貌,wàibiǎo，wàimào,
옷차림,attired appearance,穿着，衣着，打扮,chuānzhe，yīzhuó，dǎbàn,
부딪치다,hit; bump; crash,撞击，碰撞,zhuàngjī，pèngzhuàng,
부딪히다,be bumped into; be run against,撞，碰,zhuàng，pèng,
끼다,be stuck in; be fastened,被夹住,bèijiāzhù,
피해,harm; damage; loss,被害，受害，遇害,bèihài，shòuhài，yùhài,
심각하다,serious; grave,严重,yánzhòng,
부서지다,be shattered,碎，裂,suì，liè,
감소,reduction,减少，下降,jiǎnshǎo，xiàjiàng,
무너지다,be pulled down; be torn down; be crumbled,倒塌，坍塌,dǎotā，tāntā,
일으키다,raise someone up; pick up; lift up,扶起,fúqǐ,
손해,damage,损失,sǔnshī,
사건,incident; event; affair; accident; case,事件，案件,shìjiàn，ànjiàn,
폭력,violence,暴力,bàolì,
연기 (공기),smoke,烟，烟气,yān，yānqì,
잠기다,be locked; be fastened,被锁,bèisuǒ,
잇따르다,follow,跟着,gēnzhe,
피해자,victim; sufferer,受害人，受害者，被害人，被害者,shòuhàirén，shòuhàizhě，bèihàirén，bèihàizhě,
구하다,save,救，救助，营救,jiù，jiùzhù，yíngjiù,
싸움,fight; struggle,争斗，打架，战斗,zhēngdòu，dǎjià，zhàndòu,
홍수,flood; torrent,洪水,hóngshuǐ,
책임지다,be in charge,负责，负责任，承担责任,fùzé，fùzérèn，chéngdānzérèn,
중독,being poisoned,中毒,zhòngdú,
현장,field; spot,现场,xiànchǎng,
치다 (날씨),rain; snow; blow; pour,吹，大作,chuī，dàzuò,
잠기다,be submerged; be soaked,浸，泡，没,jìn，pào，méi,
도둑,steal,偷，盗窃,tōu，dàoqiè,
경기 (문명),economy; business,经济状况,jīngjìzhuàngkuàng,
부수다,break; smash,打破，砸碎,dǎpò，zásuì,
큰일,big project,大事,dàshì,
질서,order,秩序,zhìxù,
파도,wave,波涛，浪涛，波浪,bōtāo，làngtāo，bōlàng,
화재,fire,火灾,huǒzāi,
증거,evidence,证据,zhèngjù,
파괴,destruction; devastation,破坏,pòhuài,
사기,swindling; fraud; deception; cheating,欺诈,qīzhà,
살아오다,live,活下来,huóxiàlái,
폭우,heavy rain; downpour,暴雨,bàoyǔ,
죄,guilt; sin,罪，罪孽,zuì，zuìniè,
해,harm; damage,害,hài,
구조,rescue,救助，营救，拯救,jiùzhù，yíngjiù，zhěngjiù,
자살,suicide; self-murder; self-destruction,自杀,zìshā,
조작,forgery,捏造,niēzào,
공격,attack; raid,进攻，攻打,jìngōng，gōngdǎ,
폭설,heavy snow; high snowfall,暴雪,bàoxuě,
책임자,person in charge,负责人,fùzérén,
중단,suspension,中断，中止,zhōngduàn，zhōngzhǐ,
살아남다,survive,幸存，存活,xìngcún，cúnhuó,
충돌,collision; clash,冲突，碰撞，冲撞,chōngtū，pèngzhuàng，chōngzhuàng,
접촉,contact,接触,jiēchù,
승객,passenger,乘客,chéngkè,
