한국어 단어,English Word,汉语单词,汉语拼音,Image
물들다,be dyed; be colored; be tinged,染色,rǎnsè,
개다,clear up; become clear,放晴,fàngqíng,
눈길,glance,目光，视线,mùguāng，shìxiàn,
끼다,hang; cloud over,弥漫，笼罩,mímàn，lǒngzhào,
가뭄,drought,干旱,gānhàn,
지다,set,落,luò,
어둠,darkness; dark,黑暗，昏暗,hēi'àn，hūn'àn,
화창하다,fine; sunny; genial; clear,和畅，风和日丽,héchàng，fēnghérìlì,
눈부시다,dazzling; glaring,耀眼，夺目，晃眼,yàoyǎn，duómù，huǎngyǎn,
캄캄하다,very dark; pitch-dark,漆黑，黑洞洞,qīhēi，hēidòngdòng,
공기,air,空气,kōngqì,
개나리,forsythia,连翘，迎春花,liánqiáo，yíngchūnhuā,
번개,lightning,闪电,shǎndiàn,
대낮,bright day; broad daylight,白天，大白天,báitiān，dàbáitiān,
서늘하다,cool; chilly	,凉，凉爽,liáng，liángshuǎng,
강수량,precipitation,降水量,jiàngshuǐliàng,
건조,being dry; being dehydrated,干燥，干枯,gānzào，gānkū,
날리다,fly,飞扬，飘扬,fēiyáng，piāoyáng,
더위,heat,热，暑热,rè，shǔrè,
기후,climate,气象,qìxiàng,
천둥,thunder,雷,léi,
포근하다,cozy; snug; soft,蓬软，松软，温暖,péngruǎn，sōngruǎn，wēnnuǎn,
추위,cold; chill,寒冷，冷,hánlěng，lěng,
소나기,shower,雷阵雨,léizhènyǔ,
일교차,diurnal range; daily range,日较差,rìjiàochà,
습하다,damp; humid,潮湿,cháoshī,
무덥다,sultry; sweltering; muggy,湿热，闷热,shīrè，mēnrè,
대기,atmosphere,大气，空气,dàqì，kōngqì,
꽃잎,petal; floral leaf,花瓣,huābàn,
태양,sun,太阳，希望,tàiyáng，xīwàng,
습기,moisture; humidity,湿气，潮气,shīqì，cháoqì,
습도,humidity,湿度,shīdù,
낙엽,leaf fall,掉叶，落叶,diàoyè，luòyè,
빗방울,raindrop; rain,雨点,yǔdiǎn,
무지개,rainbow,彩虹,cǎihóng,
나뭇잎,leaf,树叶,shùyè,
무더위,scorching heat,酷暑，酷热,kùshǔ，kùrè,
보름달,boreumdal,圆月,yuányuè,
영상,temperature above zero,零上,língshàng,
겨울철,winter season; wintertime,冬天，冬季,dōngtiān，dōngjì,
눈싸움,snowball fight,打雪仗,dǎxuězhàng,
장마철,monsoon season,梅雨季,méiyǔjì,
예보,forecast,预报,yùbào,
눈사람,snowman,雪人,xuěrén,
늦가을,late fall,晚秋，深秋,wǎnqiū，shēnqiū,
비바람,rain and wind,风雨,fēngyǔ,
초승달,new moon,新月,xīnyuè,
나뭇가지,branch; bough; twig,树枝,shùzhī,
섭씨,Celsius; centigrade,摄氏,shèshì,
첫눈,first snow,初雪,chūxuě,
한여름,midsummer; middle of summer; the height of summer ,盛夏，酷暑,shèngxià，kùshǔ,
달빛,moonlight,月色，月光,yuèsè，yuèguāng,
빗물,rainwater,雨水,yǔshuǐ,
중부,being central,中部,zhōngbù,
초가을,early autumn,初秋,chūqiū,
한겨울,midwinter; middle of winter; the height of winter,严冬,yándōng,
늦겨울,late winter,深冬，残冬,shēndōng，cándōng,
반달,half moon,半月,bànyuè,
초여름,early summer,初夏，孟夏,chūxià，mèngxià,
초저녁,early evening,傍晚,bàngwǎn,
늦여름,late summer,夏末，残夏,xiàmò，cánxià,
초봄,early spring,初春，早春,chūchūn，zǎochūn,
초겨울,early winter,初冬,chūdōng,
늦봄,late spring,晚春,wǎnchūn,
상쾌하다,refreshing,清爽，清新,qīngshuǎng，qīngxīn,
깜깜하다,very dark; pitch-dark,漆黑，黑洞洞,qīhēi，hēidòngdòng,
북부,northern part,北部,běibù,
남부,southern part,南部,nánbù,
영화감독,movie director,电影导演,diànyǐngdǎoyǎn,
사회자,host; master of ceremonies; chairperson; moderator,主持人，司仪,zhǔchírén，sīyí,
대중,crowd; party,群众,qúnzhòng,
매체,medium,媒体,méitǐ,
