한국어 단어,English Word,汉语单词,汉语拼音,Image
코미디,comedy,喜剧,xǐjù,
연기,acting; performance,演技,yǎnjì,
홍보,promotion; publicity; advertisement,宣传,xuānchuán,
진행자,host; emcee,主持人,zhǔchírén,
알려지다,become known,被知道，暴露,bèizhīdào，bàolù,
무대,stage,舞台,wǔtái,
문자,letter,文字,wénzì,
진행,progress,前行，前进,qiánxíng，qiánjìn,
이벤트,event,活动,huódòng,
기사,article,报道，新闻,bàodào，xīnwén,
녹음,recording; phonographing,录音,lùyīn,
대중교통,public transportation,公共交通，大众交通,gōnggòngjiāotōng，dàzhòngjiāotōng,
참여,participation; involvement,参与，出席，到场,cānyù，chūxí，dàochǎng,
참가,participation,参加，参与,cānjiā，cānyù,
영상,picture; image,影像,yǐngxiàng,
언론,press; journalism,言论,yánlùn,
동영상,video,视频,shìpín,
녹화,video recording,录像,lùxiàng,
캠페인,campaign,活动，运动,huódòng，yùndòng,
대중가요,popular song,流行歌曲，通俗歌曲,liúxínggēqǔ，tōngsúgēqǔ,
매진,sold out,售罄，脱销，卖光,shòuqìng，tuōxiāo，màiguāng,
보도,news; report; reporting,报道,bàodào,
펴내다,publish,发行,fāxíng,
대중문화,popular culture,大众文化，通俗文化,dàzhòngwénhuà，tōngsúwénhuà,
시청자,viewer,观众,guānzhòng,
인쇄,printing,印刷，打印,yìnshuā，dǎyìn,
생방송,live broadcast,现场直播,xiànchǎngzhíbō,
시청,watching,收看，收听,shōukàn，shōutīng,
미디어,media,媒体，传媒,méitǐ，chuánméi,
시청률,television ratings,收视率,shōushìlǜ,
출연,appearing; making an appearance,出演，演出，扮演,chūyǎn，yǎnchū，bànyǎn,
발행,publication,发刊，刊行,fākān，kānxíng,
출판,publishing,出版，出刊，刊行,chūbǎn，chūkān，kānxíng,
연기자,actor; actress,演员,yǎnyuán,
언급,mentioning; referring; reference,提及，谈到，言及,tíjí，tándào，yánjí,
신문사,newspaper publishing company,报社,bàoshè,
탤런트,TV actor; TV actress,演员,yǎnyuán,
마이크,microphone,麦克风,màikèfēng,
신문지,newspaper,报纸,bàozhǐ,
녹음기,recorder,录音机,lùyīnjī,
화면,picture; image,画面,huàmiàn,
벌어지다,widen,裂开，张开,lièkāi，zhāngkāi,
뚫리다,have a hole; be pierced,钻，打,zuān，dǎ,
뚫다,dig; pierce; bore,穿，钻,chuān，zuān,
번거롭다,inconvenient; cumbersome,繁杂，繁琐,fánzá，fánsuǒ,
기능,function; role,功能，机能,gōngnéng，jīnéng,
망가지다,be broken; be destroyed,被破坏，被打碎，被弄坏，被整坏,bèipòhuài，bèidǎsuì，bèinònghuài，bèizhěnghuài,
건전지,battery,电池，干电池,diànchí，gāndiànchí,
배터리,battery,电池,diànchí,
수리,repair; fixing,修理，维修,xiūlǐ，wéixiū,
수선,mending; repair,修理，维修,xiūlǐ，wéixiū,
용건,business; things to do,事情,shìqíng,
요청,request; appeal,要求，请求,yāoqiú，qǐngqiú,
교체,replacement; substitution,交替，更换，更替,jiāotì，gēnghuàn，gēngtì,
메우다,fill; fill up,填充，垫,tiánchōng，diàn,
손쉽다,easy,容易，轻松,róngyì，qīngsōng,
해결,solution; settlement,解决,jiějué,
기계,machine,机械，机器,jīxiè，jīqì,
신고,declaration,申报，登记,shēnbào，dēngjì,
스위치,switch,开关,kāiguān,
기구,utensil; tool; implement,器具，用具,qìjù，yòngjù,
분실물,lost article,失物,shīwù,
부품,part; component,零件，配件，元件,língjiàn，pèijiàn，yuánjiàn,
문제점,problem; drawback,问题点，问题,wèntídiǎn，wèntí,
분실,loss,遗失，丢失,yíshī，diūshī,
버튼,button,按钮,ànniǔ,
악취,odor; stink,恶臭,èchòu,
수리비,repair cost,修理费，维修费,xiūlǐfèi，wéixiūfèi,
제거,removal,除去，消除,chúqù，xiāochú,
편견,prejudice; bias,偏见,piānjiàn,
교류,mixture of currents; intersection of streams,汇流，交汇,huìliú，jiāohuì,
기도,prayer,祈祷，祷告,qídǎo，dǎogào,
