한국어 단어,English Word,汉语单词,汉语拼音,Image
폭발,outburst,爆发，发作,bàofā，fāzuò,
진술,statement,陈述,chénshù,
살인,murder; killing,杀人,shārén,
취재,gathering news materials; coverage,采访，取材,cǎifǎng，qǔcái,
산불,bush fire; forest fire,山火,shānhuǒ,
비상구,emergency exit,安全出口，紧急出口,ānquánchūkǒu，jǐnjíchūkǒu,
실종,disappearance; missing,失踪,shīzōng,
탈출,escape,脱身，逃脱，逃出，逃跑,tuōshēn，táotuō，táochū，táopǎo,
소방서,fire station,消防站,xiāofángzhàn,
소방차,fire engine; fire truck,消防车,xiāofángchē,
유치하다,attract; invite,招揽，引诱；吸引,zhāolǎn，yǐnyòu；xīyǐn,
원만하다,mild; good-tempered; good-natured,宽厚，友善,kuānhòu，yǒushàn,
활발하다,lively; cheerful; outgoing; vigorous,活泼，活跃，生龙活虎,huópō，huóyuè，shēnglónghuóhǔ,
깔끔하다,clean; neat	,洁净，利落,jiéjìng，lìluò,
꼼꼼하다,meticulous; elaborate; careful,细密，细致,xìmì，xìzhì,
사랑스럽다,lovely; adorable,可爱,kě'ài,
순하다,meek; mild; docile,温顺，驯良,wēnshùn，xùnliáng,
진지하다,serious,真挚，诚恳,zhēnzhì，chéngkěn,
따지다,question closely,辨别，探个究竟，追问到底,biànbié，tàngèjiūjìng，zhuīwèndàodǐ,
변덕스럽다,whimsical; changeable; inconstant,变化无常，善变,biànhuàwúcháng，shànbiàn,
엉뚱하다,strange; bizzare; eccentric,出乎意料，意想不到,chūhūyìliào，yìxiǎngbùdào,
까먹다,peel and eat,剥着吃,bōzhechī,
까다롭다,complex; intricate,棘手，难办,jíshǒu，nánbàn,
적극적,being active,积极的,jījíde,
너그럽다,generous; charitable,宽厚，大度,kuānhòu，dàdù,
점잖다,calm,端庄，庄重，斯文,duānzhuāng，zhuāngzhòng，sīwén,
못되다,nasty; naughty,恶劣，坏,èliè，huài,
긍정적,being positive; being affirmative,肯定的，认可的,kěndìngde，rènkěde,
예의,courtesy; manners,礼仪，礼节，礼貌,lǐyí，lǐjié，lǐmào,
개성,characteristic,个性,gèxìng,
소극적,being passive,消极的，不主动的,xiāojíde，bùzhǔdòngde,
고집,persistence; stubbornness; obstinacy,固执，坚持,gùzhí，jiānchí,
느긋하다,comfortable; relaxed; carefree,轻松，悠闲,qīngsōng，yōuxián,
공손하다,polite; civil; well-mannered,恭敬,gōngjìng,
지혜롭다,wise,智慧，聪明，聪慧,zhìhuì，cōngmíng，cōnghuì,
씩씩하다,lively; spirited; energetic,生气勃勃，朝气蓬勃,shēngqìbóbó，zhāoqìpéngbó,
자신감,self-assurance; confidence,自信感，自信心,zìxìngǎn，zìxìnxīn,
냉정하다,cold; callous; indifferent,冷漠，冷冰冰,lěngmò，lěngbīngbīng,
부정적,being contradictory,否定的,fǒudìngde,
어리석다,silly; stupid; idiotic,愚蠢，傻,yúchǔn，shǎ,
용기,courage; guts,勇气,yǒngqì,
자유롭다,free,自由，自由自在,zìyóu，zìyóuzìzài,
열정,passion,热情，干劲，炽热,rèqíng，gànjìn，chìrè,
개방,opening; opening to the public,开放，对外开放,kāifàng，duìwàikāifàng,
순수하다,pure,纯正，纯粹,chúnzhèng，chúncuì,
맘,mind; nature,心地，心性,xīndì，xīnxìng,
수동적,being passive,被动的,bèidòngde,
자존심,pride; self-respect,自尊心,zìzūnxīn,
책임감,sense of responsibility,责任感，责任心,zérèngǎn，zérènxīn,
영리하다,clever; bright; intelligent,伶俐，机灵，聪敏，精灵,línglì，jīlíng，cōngmǐn，jīnglíng,
내성적,being introverted,内向的,nèixiàngde,
지혜,wisdom,智慧,zhìhuì,
마음씨,temper,心地,xīndì,
활기,vitality; energy; life,朝气，活力，生气，生机,zhāoqì，huólì，shēngqì，shēngjī,
인격,personality; individuality; character,人格,réngé,
솔직하다,frank; honest,坦诚，坦率,tǎnchéng，tǎnshuài,
겸손,modesty; humility,谦虚，谦逊,qiānxū，qiānxùn,
인간적,being human,人的，人类的,rénde，rénlèide,
자신,confidence,自信,zìxìn,
인간성,human nature; humanity,人性,rénxìng,
용감하다,brave; courageous,勇敢,yǒnggǎn,
활동적,being active; being energetic,有活力的，活动性强的,yǒuhuólìde，huódòngxìngqiángde,
이기적,being selfish; being egoistic; being egocentric,利己的,lìjǐde,
다정,warm-heartedness; affection,多情，深情，亲密,duōqíng，shēnqíng，qīnmì,
수다,prattle; chatter,废话，啰嗦，唠叨,fèihuà，luōsuo，láodāo,
비판적,critical,批评性，批判的,pīpíngxìng，pīpànde,
말투,manner of speaking,语气，口气,yǔqì，kǒuqì,
속이다,deceive,骗，欺骗,piàn，qīpiàn,
적극적,active,积极的,jījíde,
소극적,passive,消极的，不主动的,xiāojíde，bùzhǔdòngde,
얌전,being docile; being meek,规矩，斯文，文静,guījǔ，sīwén，wénjìng,
마음속,innermost thoughts; mind,内心，心底,nèixīn，xīndǐ,
긍정적,affirmative,肯定的，认可的,kěndìngde，rènkěde,
적극,being strong; being positive; being active,积极,jījí,
꼼꼼히,elaborately; punctiliously; carefully,细密地，细致地,xìmìdì，xìzhìdì,
부지런히,diligently,勤奋地，勤快地，勤勉地,qínfèndì，qínkuàidì，qínmiǎndì,
내성적,introvert,内向的,nèixiàngde,
말없이,silently; in silence,一声不吭地,yīshēngbùkēngdì,
무서워하다,be afraid; be scared,害怕,hàipà,
부정적,contradictory,否定的,fǒudìngde,
신중,caution; prudence; discretion,慎重,shènzhòng,
부끄러워하다,be ashamed of,害羞，不好意思,hàixiū，bùhǎoyìsī,
부끄러움,shyness; bashfulness,害羞，羞愧，羞耻,hàixiū，xiūkuì，xiūchǐ,
속마음,heart,内心，心思,nèixīn，xīnsī,
날카롭다,sharp; pointed,锐利，锋利,ruìlì，fēnglì,
인간적,human,人的，人类的,rénde，rénlèide,
신사,gentleman,绅士,shēnshì,
마음대로,at will,随心所欲，随意，随便,suíxīnsuǒyù，suíyì，suíbiàn,
수동적,passive,被动的,bèidòngde,
유치하다,young,幼小，稚嫩,yòuxiǎo，zhìnèn,
이기적,selfish; self-centered; egotistic,利己的,lìjǐde,
성실,faithfulness; sincerity,诚实，老实，踏实,chéngshí，lǎoshí，tàshí,
비판적,being critical,批评性，批判的,pīpíngxìng，pīpànde,
현실적,being realistic; being practical; being probable,现实的,xiànshíde,
활동적,active; energetic,有活力的，活动性强的,yǒuhuólìde，huódòngxìngqiángde,
활발히,vigorously; energetically; actively,活泼地，活跃地，生龙活虎地,huópōdì，huóyuèdì，shēnglónghuóhǔdì,
엄격,rigidness; sternness; austerity,严格,yángé,
솔직히,frankly; honestly,坦率地，老实地,tǎnshuàidì，lǎoshídì,
순진,innocence,纯真，天真,chúnzhēn，tiānzhēn,
힘차다,strong; powerful; vigorous,有力，朝气蓬勃，有力量,yǒulì，zhāoqìpéngbó，yǒulìliàng,
유머,humor; joke,幽默,yōumò,
본래,origin,本来，原来,běnlái，yuánlái,
불친절,unkindness; unfriendliness,不亲切，不热情,bùqīnqiè，bùrèqíng,
본능,instinct,本能,běnnéng,
멋대로,as one likes,随便，随性子,suíbiàn，suíxìngzi,
