한국어 단어,English Word,汉语单词,汉语拼音,Image
맞춤법,spelling,拼写法,pīnxiěfǎ,
비유,analogy; being figurative; metaphor,比喻,bǐyù,
욕,foul language; abusive language,骂，辱骂,mà，rǔmà,
통역,interpretation,口译，翻译,kǒuyì，fānyì,
해석,interpretation; comprehension; explanation,解释,jiěshì,
한자,Chinese characters,汉字,hànzì,
일본어,Japanese,日语，日本语,rìyǔ，rìběnyǔ,
반복,repetition,反复，重复,fǎnfù，chóngfù,
용어,term; terminology,用语，术语,yòngyǔ，shùyǔ,
수수께끼,riddle,谜语,míyǔ,
표준어,official language,标准语，普通话,biāozhǔnyǔ，pǔtōnghuà,
중국어,Chinese,中国语,zhōngguóyǔ,
부정확,inaccuracy; incorrectness,不准确，不正确,bùzhǔnquè，bùzhèngquè,
말하기,speaking class,会话，说,huìhuà，shuō,
독일어,German,德语,déyǔ,
일어,Japanese,日语,rìyǔ,
이르다,arrive; reach,抵达，到,dǐdá，dào,
머무르다,stay temporarily; stop over; anchor,逗留，暂住,dòuliú，zànzhù,
꾸리다,pack,收拾，打点,shōushí，dǎdiǎn,
머물다,stay temporarily; stop over; anchor,滞留，逗留，留,zhìliú，dòuliú，liú,
일정,program; schedule,日程，行程,rìchéng，xíngchéng,
비용,cost; expense,费，费用,fèi，fèiyòng,
멀미,motion sickness; travel sickness,晕车，晕船,yùnchē，yùnchuán,
묵다,stay; lodge,住，停留,zhù，tíngliú,
경비,expense; expenditure; cost,经费，费用,jīngfèi，fèiyòng,
해돋이,sunrise,日出,rìchū,
기념,commemoration; memory,纪念,jìniàn,
단체,group; society; association,团体，集体，团伙,tuántǐ，jítǐ，tuánhuǒ,
코스,course,路线,lùxiàn,
볼거리,attraction,看点，好看的东西,kàndiǎn，hǎokàndedōngxī,
일출,sunrise,日出,rìchū,
시각, time; hour,时刻，时候,shíkè，shíhòu,
유적지,historic site,遗址,yízhǐ,
유물,relic; remains; antiquity,遗物，遗存，遗迹,yíwù，yícún，yíjì,
기념품,souvenir,纪念品,jìniànpǐn,
비자,visa,签证,qiānzhèng,
계곡,valley,溪谷，山涧,xīgǔ，shānjiàn,
귀국,homecoming; return to one´s country ,归国，回国,guīguó，huíguó,
