한국어 단어,English Word,汉语单词,汉语拼音,Image
볼,(front) cheek,脸颊，面颊,liǎnjiá，miànjiá,
안약,eyewash; eyewater,眼药，眼药水,yǎnyào，yǎnyàoshuǐ,
간호,nursing; attendance; care ,看护，护理,kānhù，hùlǐ,
복통,stomachache; bellyache,腹痛,fùtòng,
운동량,amount of exercise,运动量,yùndòngliàng,
진통제,painkiller; pain reliever,镇痛剂，止痛药,zhèntòngjì，zhǐtòngyào,
연고,ointment,软膏，药膏,ruǎngāo，yàogāo,
안과,ophthalmology; department of ophthalmology,眼科,yǎnkē,
반창고,adhesive tape; sticking plaster,橡皮膏，创可贴,xiàngpígāo，chuàngkětiē,
병실,ward; hospital room,病房,bìngfáng,
외과,department of surgery,外科,wàikē,
비타민,vitamin,维生素，维他命,wéishēngsù，wéitāmìng,
정형외과,orthopedics; department of orthopedics,整形外科,zhěngxíngwàikē,
소독,disinfection; sterilization,消毒,xiāodú,
소아과,pediatrics,小儿科,xiǎo'érkē,
물약,liquid medicine,口服液,kǒufúyè,
복용,taking; dosing oneself,服用,fúyòng,
콜록콜록,with coughs,吭吭,kēngkēng,
수면제,sleeping pill,安眠药,ānmiányào,
두통약,headache medicine,头痛药,tóutòngyào,
응급실,ER; emergency room,急诊室，急救中心,jízhěnshì，jíjiùzhōngxīn,
치료법,cure; treatment; remedy,治疗法,zhìliáofǎ,
진단서,written diagnosis,诊断书,zhěnduànshū,
사용법,direction for use; instruction for use; way of using,使用方法，用法,shǐyòngfāngfǎ，yòngfǎ,
아픔,pain; ache,痛楚，疼，痛,tòngchǔ，téng，tòng,
삐다,to sprain,扭，崴，闪,niǔ，wǎi，shǎn,
부상,injury,负伤，受伤,fùshāng，shòushāng,
악화,aggravation; worsening,恶化,èhuà,
여드름,acne,粉刺，青春痘,fěncì，qīngchūndòu,
골고루,evenly distributed among many things (adv.),平均地，均匀地，均衡地,píngjūndì，jūnyúndì，jūnhéngdì,
공과금,utility bills,公共费用，税金,gōnggòngfèiyòng，shuìjīn,
정책,policy,政策,zhèngcè,
규정,regulation; law,规定，规章,guīdìng，guīzhāng,
시설,facility; installation,设施，设备,shèshī，shèbèi,
권리,right; authority; power,权利,quánlì,
대책,measure; action,对策,duìcè,
공공장소,public place,公共场所，公共场合,gōnggòngchǎngsuǒ，gōnggòngchǎnghé,
우편물,mail,邮件，信件,yóujiàn，xìnjiàn,
국가,state; nation; country,国家,guójiā,
대출,loan; lending; borrowing,借贷,jièdài,
법,law; act,法律,fǎlǜ,
보안,security,安保，保密,ānbǎo，bǎomì,
기관,engine,引擎，发动机,yǐnqíng，fādòngjī,
벌 (명사),punishment; penalty,惩罚，罚,chéngfá，fá,
문의,inquiry,咨询,zīxún,
공공,being public,公共,gōnggòng,
정부,government,政府,zhèngfǔ,
계좌,account,帐户，户头,zhànghù，hùtóu,
법률,law,法律,fǎlǜ,
국립,being national,国立,guólì,
우편,mail,邮递，邮寄,yóudì，yóujì,
군대,military; troops,部队，军队,bùduì，jūnduì,
신청서,application form,申请书,shēnqǐngshū,
수수료,commission; fee; charge,手续费,shǒuxùfèi,
대통령,president,总统,zǒngtǒng,
행정,administration,行政,xíngzhèng,
발급,issue,发 ，发放,fā ，fāfàng,
부정,unlawfulness; illegitimacy,不正当,bùzhèngdāng,
증명서,certificate,证明书，证书，证件,zhèngmíngshū，zhèngshū，zhèngjiàn,
국회,National Assembly; Congress; Parliament,国会,guóhuì,
금융,finance,金融,jīnróng,
연체료,late fee,滞纳金，拖欠费,zhìnàjīn，tuōqiànfèi,
등기,registration,登记，注册,dēngjì，zhùcè,
증명,verification; testification,证明,zhèngmíng,
입금,deposit; payment on account,存款，存入，打款,cúnkuǎn，cúnrù，dǎkuǎn,
공중전화,pay phone,公用电话,gōngyòngdiànhuà,
대사,ambassador,大使,dàshǐ,
항의,protest; complaint,抗议,kàngyì,
시행,carrying out,实施，施行,shíshī，shīxíng,
창구,window,窗口，窗洞,chuāngkǒu，chuāngdòng,
도난,theft; being robbed,被盗，遇盗,bèidào，yùdào,
시장 (사람),mayor,市长,shìzhǎng,
