한국어 단어,English Word,汉语单词,汉语拼音,Image
명절,national holiday,节日,jiérì,
세배,sebae,拜年,bàinián,
추석,Chuseok,中秋节,zhōngqiūjié,
떡국,tteokguk; sliced rice cake soup,年糕汤,niángāotāng,
결혼,marriage; wedding; union; matrimony,结婚,jiéhūn,
결혼식,wedding,婚礼,hūnlǐ,
신랑,bridegroom,新郎,xīnláng,
설날,Seollal; Lunar New Year,春节,chūnjié,
태어나다,be born,诞生，出生，降生,dànshēng，chūshēng，jiàngshēng,
윷놀이,yunnori,掷柶游戏，柶戏，掷柶戏，翻板子游戏，尤茨游戏,zhìsìyóuxì，sìxì，zhìsìxì，fānbǎnziyóuxì，yóucíyóuxì,
송편,songpyeon; half-moon rice cake,松糕，豆馅蒸糕,sōnggāo，dòuxiànzhēnggāo,
생일,birthday,生日，生辰,shēngrì，shēngchén,
신부,bride,新娘，新娘子,xīnniáng，xīnniángzi,
생신,birthday,寿辰，诞辰，生日,shòuchén，dànchén，shēngrì,
크리스마스,Christmas Day,圣诞节,shèngdànjié,
고맙다,thankful; grateful,感谢，感激,gǎnxiè，gǎnjī,
돕다,help; assist,帮，帮助,bāng，bāngzhù,
감사,gratitude; appreciation; thanks,感谢,gǎnxiè,
도와주다,help; assist,帮忙，帮助,bāngmáng，bāngzhù,
도움,help,帮助，帮忙，援助,bāngzhù，bāngmáng，yuánzhù,
칭찬,praise; compliment,称赞,chēngzàn,
부탁,request,拜托，请求，托付,bàituō，qǐngqiú，tuōfù,
수고,trouble; effort,辛苦，受累,xīnkǔ，shòulěi,
마음,personality,心地，心性，心眼,xīndì，xīnxìng，xīnyǎn,
귀엽다,cute; adorable; sweet,可爱,kě'ài,
좋다,good; great; excellent,好，美，优良，优美,hǎo，měi，yōuliáng，yōuměi,
웃다,smile,笑,xiào,
느끼다,feel,感觉，感到，觉得,gǎnjué，gǎndào，juéde,
사랑,love,爱，爱情，恋情,ài，àiqíng，liànqíng,
놀라다,be surprised; be astonished; be shocked; be scared,惊吓，吃惊,jīngxià，chījīng,
좋아하다,like,喜欢,xǐhuān,
답답하다,stifling; suffocating,烦闷，堵得慌，发闷,fánmèn，dǔdéhuāng，fāmèn,
귀찮다,feel annoyed,麻烦，厌烦,máfán，yànfán,
울다,cry,哭，哭泣,kū，kūqì,
괜찮다,nice; fine,不错,bùcuò,
불쌍하다,pitiful; pathetic,可怜,kělián,
궁금하다,curious,好奇，纳闷儿,hàoqí，nàmèn'ér,
섭섭하다,sorry; regrettable,难舍，不舍,nánshě，bùshě,
기쁘다,happy; glad,高兴，开心,gāoxìng，kāixīn,
관심,interest; attention,关注，关心，兴趣,guānzhù，guānxīn，xìngqù,
걱정,worry; concern; care,担心，忧虑，担忧,dānxīn，yōulǜ，dānyōu,
외롭다,lonely; solitary,孤单，孤独,gūdān，gūdú,
즐겁다,joyful; pleasant,愉快，欢乐，欢快,yúkuài，huānlè，huānkuài,
무섭다,fearful; scared of,怕，害怕，可怕，恐惧,pà，hàipà，kěpà，kǒngjù,
그립다,miss,思念，怀念,sīniàn，huáiniàn,
화,anger; fury,火，气,huǒ，qì,
슬프다,sad,悲伤的，伤心的,bēishāngde，shāngxīnde,
슬퍼하다,be sad,悲伤，伤心,bēishāng，shāngxīn,
원하다,want; wish; hope,希望，想要,xīwàng，xiǎngyào,
부끄럽다,shy,害羞，羞涩，腼腆,hàixiū，xiūsè，miǎntiǎn,
싫다,disgusting; distasteful; having no taste for,讨厌,tǎoyàn,
부럽다,envious of,羡慕，眼馋,xiànmù，yǎnchán,
기분,mood; feelings,心情,xīnqíng,
웃음,smile; laughter,(无对应词汇),(wúduìyìngcíhuì),
재미,fun; interest,兴趣，趣味,xìngqù，qùwèi,
희망,hope,希望，愿望,xīwàng，yuànwàng,
소중하다,valuable,珍贵,zhēnguì,
고프다,hungry,饿，饥饿,è，jī'è,
긴장,nervousness; tension,紧张,jǐnzhāng,
짜증,irritation; annoyance,心烦，厌烦，闹心,xīnfán，yànfán，nàoxīn,
귀여워하다,love; make a pet of; be affectionate to,喜爱，疼爱，怜爱,xǐ'ài，téng'ài，lián'ài,
싫어하다,hate; dislike,讨厌，不愿意,tǎoyàn，bùyuànyì,
부르다,full,饱,bǎo,
느낌,feeling; sense; impression,感觉，感受,gǎnjué，gǎnshòu,
결정,decision,决定,juédìng,
행복,blessing; luck; fortune,幸福,xìngfú,
편하다,comfortable; easy; peaceful,舒服，舒畅,shūfú，shūchàng,
화나다,get angry; be furious; be enraged,生气，发火,shēngqì，fāhuǒ,
기뻐하다,be glad; be happy,高兴，欢喜,gāoxìng，huānxǐ,
기쁨,joy,快乐，喜悦,kuàilè，xǐyuè,
