한국어 단어,English Word,汉语单词,汉语拼音,Image
문,door,门,mén,
휴지,waste paper,废纸,fèizhǐ,
화장실,toilet; restroom; bathroom,洗手间，卫生间,xǐshǒujiān，wèishēngjiān,
부엌,kitchen,厨房,chúfáng,
옷장,wardrobe,衣橱，衣柜,yīchú，yīguì,
벽,wall,墙壁，墙壁,qiángbì，qiángbì,
에어컨,air conditioner  ,空调,kōngtiáo,
건물,building; structure; edifice,建筑，建筑物,jiànzhù，jiànzhùwù,
댁,one's family,府，贵府,fǔ，guìfǔ,
침대,bed,床，床铺,chuáng，chuángpù,
정원,garden,庭院，院子,tíngyuàn，yuànzi,
마당,garden; yard,院子，庭院,yuànzi，tíngyuàn,
옷걸이,clothes hanger; hanger,衣架，衣钩，晾衣架,yījià，yīgōu，liàngyījià,
아파트,apartment; apartment building,公寓,gōngyù,
거실,living room,客厅,kètīng,
창문,window,窗，窗户,chuāng，chuānghù,
열쇠,key,钥匙,yàoshi,
수건,towel,毛巾,máojīn,
달력,calendar,日历,rìlì,
식탁,dining table,餐桌,cānzhuō,
냉장고,refrigerator; fridge,冰箱,bīngxiāng,
비누,soap,肥皂，香皂,féizào，xiāngzào,
출구,exit; way out,出口,chūkǒu,
휴게실,lounge; waiting room,休息室,xiūxīshì,
이불,bedclothes; comforter; blanket,被子,bèizi,
세탁기,washing machine,洗衣机,xǐyījī,
하숙집,boarding house; lodging house; rooming house,寄宿处,jìsùchù,
선풍기,fan,电扇，电风扇,diànshàn，diànfēngshàn,
한옥,hanok,韩屋,hánwū,
치약,toothpaste,牙膏,yágāo,
소파,sofa; couch,沙发,shāfā,
꽃병,vase,花瓶,huāpíng,
서랍,drawer,抽屉,chōutì,
휴지통,garbage can; litter box; trash can,废纸篓，废纸桶，垃圾篓，垃圾桶,fèizhǐlǒu，fèizhǐtǒng，lājīlǒu，lājītǒng,
칫솔,toothbrush,牙刷,yáshuā,
지하,basement,地下,dìxià,
방문,door,房门,fángmén,
목욕탕,bathhouse,公共浴室，澡堂,gōnggòngyùshì，zǎotáng,
빌딩,building,大楼，高楼，大厦,dàlóu，gāolóu，dàshà,
책장,bookshelf; bookcase,书柜,shūguì,
쓰레기통,garbage can; litter box; trash can ,垃圾桶，垃圾箱,lājītǒng，lājīxiāng,
댁,you,您,nín,
침실,bedroom,卧室,wòshì,
이삿짐,goods to be moved,搬家的东西,bānjiādedōngxī,
옆집,house next door,邻居，隔壁,línjū，gébì,
마르다,dry up,干,gàn,
깨끗하다,clean,洁净，干净,jiéjìng，gānjìng,
버리다,throw away; dump,扔，丢,rēng，diū,
더럽다,dirty,脏，污浊,zàng，wūzhuó,
집안일,housework; household chores,家务,jiāwù,
깨끗이,clean,干净地，洁净地,gānjìngdì，jiéjìngdì,
쓰레기,rubbish; trash; garbage,垃圾,lājī,
설거지,dishwashing; doing the dishes,刷碗，洗碗,shuāwǎn，xǐwǎn,
청소,cleaning,打扫，清扫，扫除,dǎsǎo，qīngsǎo，sǎochú,
정리,organizing,整理，收拾，清理,zhěnglǐ，shōushí，qīnglǐ,
빨래,washing; laundry,洗衣，洗衣服,xǐyī，xǐyīfú,
빨다,wash; clean,洗,xǐ,
세탁,washing; laundry,洗衣,xǐyī,
드리다,give; offer,致，呈，献，奉上,zhì，chéng，xiàn，fèngshàng,
들르다,drop by,顺便去一下,shùnbiànqùyīxià,
가져가다,bring,带走，拿走,dàizǒu，názǒu,
시간,time,时间,shíjiān,
꽃,flower,花，花朵,huā，huāduǒ,
찾아오다,come visiting,来找，来访，访问,láizhǎo，láifǎng，fǎngwèn,
가져오다,bring,带来，拿来，取来,dàilái，nálái，qǔlái,
잔치,party; feast; banquet,宴会，喜宴,yànhuì，xǐyàn,
선물,gift; present,礼物,lǐwù,
마중,pick up,接站，接机,jiēzhàn，jiējī,
병문안,visit to a sick person,探病,tànbìng,
찾아가다,go visiting,去，去找，去见，拜访,qù，qùzhǎo，qùjiàn，bàifǎng,
집들이,housewarming party,乔迁宴，乔迁请客,qiáoqiānyàn，qiáoqiānqǐngkè,
초대,invitation,邀请；招待,yāoqǐng；zhāodài,
