한국어 단어,English Word,汉语单词,汉语拼音,Image
거리,distance; length,距离,jùlí,
막히다,be blocked; be closed; be clogged,被堵住，受阻,bèidǔzhù，shòuzǔ,
거리,street; road; avenue,大街，街头，马路,dàjiē，jiētóu，mǎlù,
멈추다,stop doing; quit,停，止,tíng，zhǐ,
기차,train,火车，列车,huǒchē，lièchē,
도로,road,道路，公路,dàolù，gōnglù,
비행기,plane; airplane,飞机,fēijī,
교통,transportation; traffic,交通,jiāotōng,
차,car; automobile; vehicle,车，车辆,chē，chēliàng,
버스,bus,公共汽车，公交车,gōnggòngqìchē，gōngjiāochē,
대,dae,辆，架，台,liàng，jià，tái,
자동차,car; automobile,汽车,qìchē,
위험,danger; hazard,危险,wēixiǎn,
자전거,bicycle,自行车,zìxíngchē,
교통사고,traffic accident; car crash,交通事故,jiāotōngshìgù,
배,boat; ship; vessel,船,chuán,
역,station; stop ,驿，站,yì，zhàn,
지하철,subway,地铁,dìtiě,
공항,airport,机场,jīchǎng,
이용,use; utilization,使用,shǐyòng,
출발,departure; leaving,出发,chūfā,
택시,taxi; cab,出租车,chūzūchē,
지하도,underground tunnel,地下道，地道,dìxiàdào，dìdào,
다리,bridge,桥，桥梁,qiáo，qiáoliáng,
운전,driving; operation,驾驶，操纵，开,jiàshǐ，cāozòng，kāi,
고속버스,express bus,高速大巴，高速巴士,gāosùdàbā，gāosùbāshì,
신호등,traffic light; traffic signal,交通信号灯，红绿灯,jiāotōngxìnhàodēng，hónglǜdēng,
열차,train,列车,lièchē,
정류장,stop,车站,chēzhàn,
주차,parking,停车，停放车辆,tíngchē，tíngfàngchēliàng,
정거장,stop; station,车站,chēzhàn,
교통비,fare; transportation expense,交通费，车费,jiāotōngfèi，chēfèi,
전철,subway; subway train; metro,轻轨,qīngguǐ,
지하철역,subway station,地铁站,dìtiězhàn,
주차장,parking lot,停车场,tíngchēchǎng,
터미널,terminal,总站,zǒngzhàn,
기차표,train ticket,火车票,huǒchēpiào,
운전사,driver; operator,驾驶员，司机,jiàshǐyuán，sījī,
기차역,train station,火车站,huǒchēzhàn,
항공,aviation; air,航空,hángkōng,
항공권,airline ticket; flight ticket,机票，飞机票,jīpiào，fēijīpiào,
트럭,truck,卡车，货车,kǎchē，huòchē,
나오다,come out; get out,出，出来,chū，chūlái,
보이다,be viewed; be visible; be in sight,让看见,ràngkànjiàn,
나가다,go out; leave,出，出去,chū，chūqù,
길,road; street; way,路，道，道路,lù，dào，dàolù,
가깝다,near; close; adjacent,近,jìn,
내려가다,go down; step down; descend,下去，下行,xiàqù，xiàxíng,
걸어오다,walk; come on foot,走来，走过来,zǒulái，zǒuguòlái,
걸어가다,walk; tread; stride,走去，走过去,zǒuqù，zǒuguòqù,
보이다,show; reveal,让看见,ràngkànjiàn,
묻다,ask; inquire; interrogate,问,wèn,
물어보다,ask; inquire; interrogate,问，打听,wèn，dǎtīng,
건너가다,cross; go across,过，跨过，渡过,guò，kuàguò，dùguò,
건너다,cross; go across,过，跨过，渡过,guò，kuàguò，dùguò,
도착,arrival,到达,dàodá,
횡단보도,crosswalk; crossing ,人行横道，斑马线,rénxínghéngdào，bānmǎxiàn,
건너편,opposite side,对面,duìmiàn,
입구,entrance; entry; gate,入口,rùkǒu,
사거리,crossroads; intersection; street corner,十字路口,shízìlùkǒu,
육교,overpass,天桥，立交桥,tiānqiáo，lìjiāoqiáo,
삼거리,three-way crossing; intersection of three streets,三岔路,sānchàlù,
시원하다,cool,凉爽，凉快,liángshuǎng，liángkuài,
나쁘다,bad,不良，坏,bùliáng，huài,
맑다,clean; clear,清澈，明澈,qīngchè，míngchè,
그치다,stop,停止，结束,tíngzhǐ，jiéshù,
뜨겁다,hot,烫，热,tàng，rè,
쌀쌀하다,chilly; rather cold,凉飕飕,liángsōusōu,
바람,wind,风,fēng,
따뜻하다,warm,暖和,nuǎnhuo,
