,korean_word,english_translation,mandarin_translation,mandarin_pinyin,category,difficulty
918,식초,vinegar,食醋,shícù,음식 주문하기,1
919,짬뽕,jjamppong,韩式炒码面，韩式海鲜辣汤面,hánshìchǎomǎmiàn，hánshìhǎixiānlàtāngmiàn,음식 주문하기,1
920,식빵,bread,吐司面包,tǔsīmiànbāo,음식 주문하기,1
921,한잔,a cup of; a drink; a glass of,一杯，一盅,yībēi，yīzhōng,음식 주문하기,1
922,중국집,Chinese restaurant,中国餐厅，中华料理店,zhōngguócāntīng，zhōnghuáliàolǐdiàn,음식 주문하기,1
923,순두부찌개,sundubujjigae; soft bean curd jjigae,嫩豆腐汤,nèndòufǔtāng,음식 주문하기,1
924,자동판매기,vending machine,自动贩卖机,zìdòngfànmàijī,음식 주문하기,1
925,술집,bar,酒家，酒馆，酒吧,jiǔjiā，jiǔguǎn，jiǔbā,음식 주문하기,1
926,스파게티,spaghetti,意大利面,yìdàlìmiàn,음식 주문하기,1
927,탕수육,sweet and sour pork,韩式糖醋肉片,hánshìtángcùròupiàn,음식 주문하기,1
928,홍차,black tea; red tea,红茶,hóngchá,음식 주문하기,1
929,한식집,Korean restaurant,韩国饭店，韩国料理店,hánguófàndiàn，hánguóliàolǐdiàn,음식 주문하기,1
930,일식집,Japanese restaurant,日料店，日本餐馆,rìliàodiàn，rìběncānguǎn,음식 주문하기,1
931,안녕,hello; hi; good-bye; bye,你好，再见,nǐhǎo，zàijiàn,인사하기,1
932,반갑다,glad; joyful,高兴，开心，喜悦,gāoxìng，kāixīn，xǐyuè,인사하기,1
933,지내다,live,度日，生活,dùrì，shēnghuó,인사하기,1
934,어떻다,such,怎么样,zěnmeyàng,인사하기,1
935,어떠하다,such,怎么样,zěnmeyàng,인사하기,1
936,인사,greetings,问候，打招呼,wènhòu，dǎzhāohū,인사하기,1
937,헤어지다,part; bid farewell; say good-bye,分别，分离,fēnbié，fēnlí,인사하기,1
938,씨,Mr.; Ms.; Mrs.,(无对应词汇),(wúduìyìngcíhuì),인사하기,1
939,오래되다,old; ancient,久，老,jiǔ，lǎo,인사하기,1
940,오랜만,being after a long time ,好久，久违,hǎojiǔ，jiǔwéi,인사하기,1
941,안녕히,in peace,平安地，安宁地,píng'āndì，ānníngdì,인사하기,1
942,성함,name,姓名,xìngmíng,인사하기,1
943,어서,quickly; without hesitation; without delay,快,kuài,인사하기,1
944,오래간만,being after a long time,好久，久违,hǎojiǔ，jiǔwéi,인사하기,1
945,오랫동안,for ages,长时间，长期以来,zhǎngshíjiān，chángqīyǐlái,인사하기,1
946,축하,congratulations; celebration,祝贺，庆贺，道贺,zhùhè，qìnghè，dàohè,인사하기,1
947,환영,welcome,欢迎,huānyíng,인사하기,1
948,바꾸다,change; exchange; replace; turn into,换，更换，调换,huàn，gēnghuàn，diàohuàn,전화하기,1
949,여보세요,hello; hi; hey there,喂,wèi,전화하기,1
950,전화,call; phone call,电话,diànhuà,전화하기,1
951,소식,news,消息,xiāoxī,전화하기,1
952,신호,code; sign,信号,xìnhào,전화하기,1
953,연결,connection,连接，连结,liánjiē，liánjié,전화하기,1
954,연락,communication,联络，联系,liánluò，liánxì,전화하기,1
955,대답,answer; reply,应答，回应，回复,yìngdá，huíyìng，huífù,전화하기,1
956,메시지,message,信息，通告，寄语,xìnxī，tōnggào，jìyǔ,전화하기,1
957,답장,reply; answer,回信，回复,huíxìn，huífù,전화하기,1
958,연락처,contact information,联系方式,liánxìfāngshì,전화하기,1
959,메모,memo,记录，留言，备忘录，便条,jìlù，liúyán，bèiwànglù，biàntiáo,전화하기,1
960,전화기,telephone,电话机,diànhuàjī,전화하기,1
961,메일,e-mail; electronic mail,电邮，电子邮件，电子函件,diànyóu，diànziyóujiàn，diànzihánjiàn,전화하기,1
962,놀다,play; have fun,玩耍，玩乐,wánshuǎ，wánlè,주말 및 휴가,1
963,계획,plan; program; scheme; design,计划，筹划,jìhuà，chóuhuà,주말 및 휴가,1
964,쉬다,rest; repose; take a rest,休息，歇,xiūxī，xiē,주말 및 휴가,1
965,연휴,consecutive holidays,连休,liánxiū,주말 및 휴가,1
966,쉬다,breathe,呼吸，喘,hūxī，chuǎn,주말 및 휴가,1
967,휴가,leave; break; vacation,休假，度假，放假，假期,xiūjià，dùjià，fàngjià，jiàqī,주말 및 휴가,1
