korean_word,english_translation,mandarin_translation,mandarin_pinyin,category,difficulty
명절,national holiday,节日,jiérì,가족 행사,1
세배,sebae,拜年,bàinián,가족 행사,1
추석,Chuseok,中秋节,zhōngqiūjié,가족 행사,1
떡국,tteokguk; sliced rice cake soup,年糕汤,niángāotāng,가족 행사,1
결혼,marriage; wedding; union; matrimony,结婚,jiéhūn,가족 행사,1
결혼식,wedding,婚礼,hūnlǐ,가족 행사,1
신랑,bridegroom,新郎,xīnláng,가족 행사,1
설날,Seollal; Lunar New Year,春节,chūnjié,가족 행사,1
태어나다,be born,诞生，出生，降生,dànshēng，chūshēng，jiàngshēng,가족 행사,1
윷놀이,yunnori,掷柶游戏，柶戏，掷柶戏，翻板子游戏，尤茨游戏,zhìsìyóuxì，sìxì，zhìsìxì，fānbǎnziyóuxì，yóucíyóuxì,가족 행사,1
송편,songpyeon; half-moon rice cake,松糕，豆馅蒸糕,sōnggāo，dòuxiànzhēnggāo,가족 행사,1
생일,birthday,生日，生辰,shēngrì，shēngchén,가족 행사,1
신부,bride,新娘，新娘子,xīnniáng，xīnniángzi,가족 행사,1
생신,birthday,寿辰，诞辰，生日,shòuchén，dànchén，shēngrì,가족 행사,1
크리스마스,Christmas Day,圣诞节,shèngdànjié,가족 행사,1
고맙다,thankful; grateful,感谢，感激,gǎnxiè，gǎnjī,감사하기,1
돕다,help; assist,帮，帮助,bāng，bāngzhù,감사하기,1
감사,gratitude; appreciation; thanks,感谢,gǎnxiè,감사하기,1
도와주다,help; assist,帮忙，帮助,bāngmáng，bāngzhù,감사하기,1
도움,help,帮助，帮忙，援助,bāngzhù，bāngmáng，yuánzhù,감사하기,1
칭찬,praise; compliment,称赞,chēngzàn,감사하기,1
부탁,request,拜托，请求，托付,bàituō，qǐngqiú，tuōfù,감사하기,1
수고,trouble; effort,辛苦，受累,xīnkǔ，shòulěi,감사하기,1
마음,personality,心地，心性，心眼,xīndì，xīnxìng，xīnyǎn,"감정, 기분 표현하기",1
귀엽다,cute; adorable; sweet,可爱,kě'ài,"감정, 기분 표현하기",1
좋다,good; great; excellent,好，美，优良，优美,hǎo，měi，yōuliáng，yōuměi,"감정, 기분 표현하기",1
웃다,smile,笑,xiào,"감정, 기분 표현하기",1
느끼다,feel,感觉，感到，觉得,gǎnjué，gǎndào，juéde,"감정, 기분 표현하기",1
사랑,love,爱，爱情，恋情,ài，àiqíng，liànqíng,"감정, 기분 표현하기",1
놀라다,be surprised; be astonished; be shocked; be scared,惊吓，吃惊,jīngxià，chījīng,"감정, 기분 표현하기",1
좋아하다,like,喜欢,xǐhuān,"감정, 기분 표현하기",1
답답하다,stifling; suffocating,烦闷，堵得慌，发闷,fánmèn，dǔdéhuāng，fāmèn,"감정, 기분 표현하기",1
귀찮다,feel annoyed,麻烦，厌烦,máfán，yànfán,"감정, 기분 표현하기",1
울다,cry,哭，哭泣,kū，kūqì,"감정, 기분 표현하기",1
괜찮다,nice; fine,不错,bùcuò,"감정, 기분 표현하기",1
불쌍하다,pitiful; pathetic,可怜,kělián,"감정, 기분 표현하기",1
궁금하다,curious,好奇，纳闷儿,hàoqí，nàmèn'ér,"감정, 기분 표현하기",1
섭섭하다,sorry; regrettable,难舍，不舍,nánshě，bùshě,"감정, 기분 표현하기",1
기쁘다,happy; glad,高兴，开心,gāoxìng，kāixīn,"감정, 기분 표현하기",1
관심,interest; attention,关注，关心，兴趣,guānzhù，guānxīn，xìngqù,"감정, 기분 표현하기",1
걱정,worry; concern; care,担心，忧虑，担忧,dānxīn，yōulǜ，dānyōu,"감정, 기분 표현하기",1
외롭다,lonely; solitary,孤单，孤独,gūdān，gūdú,"감정, 기분 표현하기",1
즐겁다,joyful; pleasant,愉快，欢乐，欢快,yúkuài，huānlè，huānkuài,"감정, 기분 표현하기",1
무섭다,fearful; scared of,怕，害怕，可怕，恐惧,pà，hàipà，kěpà，kǒngjù,"감정, 기분 표현하기",1
그립다,miss,思念，怀念,sīniàn，huáiniàn,"감정, 기분 표현하기",1
화,anger; fury,火，气,huǒ，qì,"감정, 기분 표현하기",1
슬프다,sad,悲伤的，伤心的,bēishāngde，shāngxīnde,"감정, 기분 표현하기",1
슬퍼하다,be sad,悲伤，伤心,bēishāng，shāngxīn,"감정, 기분 표현하기",1
원하다,want; wish; hope,希望，想要,xīwàng，xiǎngyào,"감정, 기분 표현하기",1
부끄럽다,shy,害羞，羞涩，腼腆,hàixiū，xiūsè，miǎntiǎn,"감정, 기분 표현하기",1
싫다,disgusting; distasteful; having no taste for,讨厌,tǎoyàn,"감정, 기분 표현하기",1
부럽다,envious of,羡慕，眼馋,xiànmù，yǎnchán,"감정, 기분 표현하기",1
기분,mood; feelings,心情,xīnqíng,"감정, 기분 표현하기",1
웃음,smile; laughter,(无对应词汇),(wúduìyìngcíhuì),"감정, 기분 표현하기",1
재미,fun; interest,兴趣，趣味,xìngqù，qùwèi,"감정, 기분 표현하기",1
희망,hope,希望，愿望,xīwàng，yuànwàng,"감정, 기분 표현하기",1
소중하다,valuable,珍贵,zhēnguì,"감정, 기분 표현하기",1
고프다,hungry,饿，饥饿,è，jī'è,"감정, 기분 표현하기",1
긴장,nervousness; tension,紧张,jǐnzhāng,"감정, 기분 표현하기",1
짜증,irritation; annoyance,心烦，厌烦，闹心,xīnfán，yànfán，nàoxīn,"감정, 기분 표현하기",1
귀여워하다,love; make a pet of; be affectionate to,喜爱，疼爱，怜爱,xǐ'ài，téng'ài，lián'ài,"감정, 기분 표현하기",1
싫어하다,hate; dislike,讨厌，不愿意,tǎoyàn，bùyuànyì,"감정, 기분 표현하기",1
부르다,full,饱,bǎo,"감정, 기분 표현하기",1
느낌,feeling; sense; impression,感觉，感受,gǎnjué，gǎnshòu,"감정, 기분 표현하기",1
결정,decision,决定,juédìng,"감정, 기분 표현하기",1
행복,blessing; luck; fortune,幸福,xìngfú,"감정, 기분 표현하기",1
편하다,comfortable; easy; peaceful,舒服，舒畅,shūfú，shūchàng,"감정, 기분 표현하기",1
화나다,get angry; be furious; be enraged,生气，发火,shēngqì，fāhuǒ,"감정, 기분 표현하기",1
기뻐하다,be glad; be happy,高兴，欢喜,gāoxìng，huānxǐ,"감정, 기분 표현하기",1
기쁨,joy,快乐，喜悦,kuàilè，xǐyuè,"감정, 기분 표현하기",1
화내다,get angry with; be mad at,发火，生气,fāhuǒ，shēngqì,"감정, 기분 표현하기",1
지루하다,boring; tedious,无聊,wúliáo,"감정, 기분 표현하기",1
즐거워하다,be pleased; be delighted,高兴，愉悦,gāoxìng，yúyuè,"감정, 기분 표현하기",1
울음,crying,哭泣，哭,kūqì，kū,"감정, 기분 표현하기",1
불안,uneasiness; anxiety,不安，不宁，担心,bù'ān，bùníng，dānxīn,"감정, 기분 표현하기",1
슬픔,sadness; sorrow,伤心，悲伤，悲痛，悲哀,shāngxīn，bēishāng，bēitòng，bēi'āi,"감정, 기분 표현하기",1
편안,comfort; ease,平安，舒适，安稳,píng'ān，shūshì，ānwěn,"감정, 기분 표현하기",1
한가하다,leisurely; unhurried; relaxed,闲适，空闲,xiánshì，kòngxián,"감정, 기분 표현하기",1
깜짝,with a startle,一惊,yījīng,"감정, 기분 표현하기",1
재미없다,not interesting,无趣，没意思，没劲儿,wúqù，méiyìsī，méijìn'ér,"감정, 기분 표현하기",1
불편,inconvenience,不便，不方便,bùbiàn，bùfāngbiàn,"감정, 기분 표현하기",1
여자,woman,女子，女人,nǚzǐ，nǚrén,개인 정보 교환하기,1
이름,name,名字，名称,míngzì，míngchēng,개인 정보 교환하기,1
다니다,go continuously,常去,chángqù,개인 정보 교환하기,1
외국인,foreigner,外国人,wàiguórén,개인 정보 교환하기,1
여성,woman,女性,nǚxìng,개인 정보 교환하기,1
한국,Korea,韩国,hánguó,개인 정보 교환하기,1
지방,area; district,地区,dìqū,개인 정보 교환하기,1
베트남,Vietnam,越南,yuènán,개인 정보 교환하기,1
서울,capital,首都,shǒudū,개인 정보 교환하기,1
몽골,Mongolia,蒙古,ménggǔ,개인 정보 교환하기,1
러시아,Russia,俄罗斯,éluósī,개인 정보 교환하기,1
영국,England; the United Kingdom,英国,yīngguó,개인 정보 교환하기,1
사장,president; chief executive,老板，总经理,lǎobǎn，zǒngjīnglǐ,개인 정보 교환하기,1
일본,Japan,日本,rìběn,개인 정보 교환하기,1
주소,address,地址，住址,dìzhǐ，zhùzhǐ,개인 정보 교환하기,1
마을,town,村子，村庄,cūnzi，cūnzhuāng,개인 정보 교환하기,1
프랑스,France,法国,fǎguó,개인 정보 교환하기,1
미국,the United States,美国,měiguó,개인 정보 교환하기,1
중국,China,中国,zhōngguó,개인 정보 교환하기,1
신분증,identification card,身份证,shēnfènzhèng,개인 정보 교환하기,1
전화번호,phone number,电话号码,diànhuàhàomǎ,개인 정보 교환하기,1
부장,department head; division head,部长,bùzhǎng,개인 정보 교환하기,1
말레이시아,Malaysia,马来西亚,mǎláixīyà,개인 정보 교환하기,1
태국,Thailand,泰国,tàiguó,개인 정보 교환하기,1
부산,Busan,釜山,fǔshān,개인 정보 교환하기,1
인도네시아,Indonesia,印度尼西亚,yìndùníxīyà,개인 정보 교환하기,1
캐나다,Canada,加拿大,jiānádà,개인 정보 교환하기,1
울산,Ulsan,蔚山,wèishān,개인 정보 교환하기,1
아프다,hurting; aching,疼， 痛，不舒服,téng， tòng，bùshūfú,건강,1
약하다,weak,弱，小,ruò，xiǎo,건강,1
튼튼하다,strong,结实，坚硬,jiēshí，jiānyìng,건강,1
건강,health; wellbeing,健康,jiànkāng,건강,1
힘,strength; power,力量，力气,lìliàng，lìqì,건강,1
편찮다,difficult; troubled,不适，不舒服,bùshì，bùshūfú,건강,1
피곤,tiredness; exhaustion; fatigue,疲惫，疲劳，疲倦,píbèi，píláo，píjuàn,건강,1
스트레스,stress,压力,yālì,건강,1
읽다,read; read out,读，朗读,dú，lǎngdú,공공 기관 이용하기(도서관),1
빌리다,borrow; rent,借,jiè,공공 기관 이용하기(도서관),1
책,books; publications,书，书籍，画册,shū，shūjí，huàcè,공공 기관 이용하기(도서관),1
도서관,library,图书馆,túshūguǎn,공공 기관 이용하기(도서관),1
찾아보다,visit,去找，去见，拜访，走访,qùzhǎo，qùjiàn，bàifǎng，zǒufǎng,공공 기관 이용하기(도서관),1
권,volume; book,本,běn,공공 기관 이용하기(도서관),1
조용히,quietly,安静地,ānjìngdì,공공 기관 이용하기(도서관),1
호,ho,号,hào,공공 기관 이용하기(도서관)|집 구하기,1
부치다,send,寄，汇，邮,jì，huì，yóu,공공 기관 이용하기(우체국),1
편지,letter,信，书信，信件,xìn，shūxìn，xìnjiàn,공공 기관 이용하기(우체국),1
택배,parcel delivery service; home-delivery service,快递,kuàidì,공공 기관 이용하기(우체국),1
소포,package; parcel,包裹,bāoguǒ,공공 기관 이용하기(우체국),1
우체국,post office,邮局,yóujú,공공 기관 이용하기(우체국),1
엽서,postcard,明信片,míngxìnpiàn,공공 기관 이용하기(우체국),1
우표,postage stamp,邮票,yóupiào,공공 기관 이용하기(우체국),1
